,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
0,RCOM,EQ,2017-05-15,32.45,32.5,32.6,31.7,32.0,32.0,31.99,7126316,227997349.45,11883,1908042,26.77,5,2017,31.990000000000002,0.0,Slight or No change
1,RCOM,EQ,2017-05-16,32.0,32.05,32.35,31.85,32.0,32.1,32.12,7274881,233687705.5,9976,2211910,30.4,5,2017,32.05567055016329,0.0031250000000000444,Slight or No change
2,RCOM,EQ,2017-05-17,32.1,32.1,32.3,31.7,31.9,31.95,31.97,6245114,199636016.25,8838,1399815,22.41,5,2017,32.02975684808777,-0.004672897196261738,Slight or No change
3,RCOM,EQ,2017-05-18,31.95,31.6,31.9,31.0,31.05,31.05,31.34,11189938,350677557.6,17051,3629175,32.43,5,2017,31.787318225209255,-0.028169014084507005,Slight or No change
4,RCOM,EQ,2017-05-19,31.05,31.2,31.45,30.25,30.55,30.55,30.8,11898780,366454736.0,18065,3309529,27.81,5,2017,31.51870328152749,-0.01610305958132041,Slight or No change
5,RCOM,EQ,2017-05-22,30.55,30.75,30.8,29.7,29.9,29.8,30.08,10150535,305352630.7,19810,3463929,34.13,5,2017,31.247691772512578,-0.02454991816693941,Slight or No change
6,RCOM,EQ,2017-05-23,29.8,29.7,29.8,27.2,27.95,28.0,28.16,25930820,730092658.15,42741,5472973,21.11,5,2017,30.244559639033508,-0.06040268456375841,Slight or No change
7,RCOM,EQ,2017-05-24,28.0,28.0,28.2,25.3,25.9,25.9,26.34,46243616,1218051381.35,60442,12211614,26.41,5,2017,28.81221824131366,-0.07500000000000007,Slight or No change
8,RCOM,EQ,2017-05-25,25.9,25.9,26.55,25.15,26.2,25.95,25.9,28257448,731824827.85,35034,6872713,24.32,5,2017,28.27895478611077,0.0019305019305020377,Slight or No change
9,RCOM,EQ,2017-05-26,25.95,26.0,26.3,25.35,25.95,25.75,25.93,14024830,363634445.4,20142,4643580,33.11,5,2017,28.083260086334338,-0.0077071290944122905,Slight or No change
10,RCOM,EQ,2017-05-29,25.75,25.0,25.3,19.7,20.8,20.5,21.29,114681061,2441748320.65,121576,24407844,21.28,5,2017,25.33063100244888,-0.2038834951456311,Slight or No change
11,RCOM,EQ,2017-05-30,20.5,20.0,22.45,18.95,20.2,20.0,20.51,130001062,2666351361.75,131557,24960708,19.2,5,2017,23.813318348980548,-0.024390243902439046,Slight or No change
12,RCOM,EQ,2017-05-31,20.0,20.0,20.7,18.1,20.55,19.9,19.03,231757141,4409651786.1,144306,36142401,15.59,5,2017,22.094025669456897,-0.0050000000000001155,Slight or No change
13,RCOM,EQ,2017-06-01,19.9,20.5,21.15,19.85,20.7,20.75,20.56,119167702,2450061180.35,100392,23621882,19.82,6,2017,21.854734492361114,0.04271356783919611,Slight or No change
14,RCOM,EQ,2017-06-02,20.75,20.5,21.65,20.05,20.7,20.65,20.67,92064997,1902732035.8,76785,18572290,20.17,6,2017,21.727315376812754,-0.004819277108433773,Slight or No change
15,RCOM,EQ,2017-06-05,20.65,21.4,21.6,20.65,20.75,20.8,20.99,62528686,1312642831.15,48525,20457641,32.72,6,2017,21.677123534575973,0.007263922518159882,Slight or No change
16,RCOM,EQ,2017-06-06,20.8,20.8,20.85,19.75,20.2,20.15,20.18,44525105,898335244.25,37179,8623150,19.37,6,2017,21.60790767405516,-0.03125000000000011,Slight or No change
17,RCOM,EQ,2017-06-07,20.15,19.7,19.7,19.15,19.3,19.35,19.45,45032892,875696493.55,35975,11802183,26.21,6,2017,21.51151174690323,-0.03970223325062017,Slight or No change
18,RCOM,EQ,2017-06-08,19.35,19.3,19.4,18.65,18.65,18.75,18.97,32893792,624120950.15,30192,10666086,32.43,6,2017,21.431203982143945,-0.03100775193798455,Slight or No change
